next attach if 1	complex if 1	Entry	Equation	Pathway	direction	Enzyme1	Rate1(1/s)	Enzyme2	Rate2(1/s)	Enzyme3	Rate3(1/s)	Note	Lower Bound	Upper Bound
0	0	R00289	C00075 + C00103 <=> C00013 + C00029	Sugar_Biosynthesis		2.7.7.9æ	48.81 - 55.03	2.7.7.64	0.12 - 191				0	200
0	0	R01513	C00197 + C00003 <=> C03232 + C00004 + C00080	Serine_M00020		1.1.1.95	3.2 - 18.7						0	20
0	0	R04173	C01005 + C00026 <=> C03232 + C00025	Serine_M00020	-1	2.6.1.52	1.33 - 1.75						1.2	1.8
0	0	R00582	C01005 + C00001 <=> C00065 + C00009	Serine_M00020		3.1.3.3	1.508 - 804						0	800
0	0	R00226	C06010 + C00011 <=> 2 C00022	Valine_M00019	-1	2.2.1.6	"n/a, one way"							
0	0	R05071	C06010 <=> C04181	Valine_M00019		1.1.1.86ææ	3.511	5.4.99.3	n/a					
0	0	R04440	C04272 + C00006 <=> C04181 + C00005 + C00080	Valine_M00019	-1	1.1.1.86	0.00417							
0	0	R04441	C04272 <=> C00141 + C00001	Valine_M00019		4.2.1.9	"n/a, one way"							
0	0	R01214	C00183 + C00026 <=> C00141 + C00025	Valine_M00019	-1	2.6.1.6	n/a	2.6.1.42	3.8 - 1236				0	1250
0	0	R08648	C00022 + C00109 <=> C06006 + C00011	Valine_M00019		2.2.1.6								
0	0	R05069	C06006 <=> C14463	Valine_M00019										
0	0	R05068	C06007 + C00006 <=> C14463 + C00005 + C00080	Valine_M00019	-1	1.1.1.86								
0	0	R05070	C06007 <=> C00671 + C00001	Valine_M00019		4.2.1.9								
0	0	R02199	C00407 + C00026 <=> C00671 + C00025	Valine_M00019	-1	2.6.1.42	7.6 - 1075						0	1100
0	0	R07399	C00024 + C00022 + C00001 <=> C02612 + C00010	Isoleucine_M00535		2.3.1.182								
0	0	R03896	C02612 <=> C02226 + C00001	Isoleucine_M00535										
0	0	R03898	C02226 + C00001 <=> C06032	Isoleucine_M00535										
0	0	R00994	C00109 + C00011 + C00004 + C00080 <=> C06032 + C00003	Isoleucine_M00535	-1									
0	0	R00271	C00024 + C00001 + C00026 <=> C01251 + C00010	Lysine_M00030										
0	0	R03444	C01251 <=> C04002 + C00001	Lysine_M00030										
0	0	R04371	C05662 <=> C04002 + C00001	Lysine_M00030	-1									
0	0	R01934	C05662 + C00003 <=> C00322 + C00011 + C00004 + C00080	Lysine_M00030										
0	0	R01939	C00956 + C00026 <=> C00322 + C00025	Lysine_M00030	-1									
0	0	R03098	C00956 + C00002 <=> C05560 + C00013	Lysine_M00030										
0	0	R04863	C05560 + C11482 <=> C05535 + C00020	Lysine_M00030										
0	0	R04390	C05535 + C00005 + C00080 <=> C04076 + C11482 + C00006	Lysine_M00030										
0	0	R02315	C00449 + C00006 + C00001 <=> C00025 + C04076 + C00005 + C00080	Lysine_M00030	-1									
0	0	R00715	C00449 + C00003 + C00001 <=> C00047 + C00026 + C00004 + C00080	Lysine_M00030										
0	0	R09720	C01251 <=> C05662	Lysine_M00433										
0	0	R00149	2 C00002 + C00014 + C00011 + C00001 <=> 2 C00008 + C00009 + C00169	Urea_cycle_M00029		6.3.4.16	1.8							
0	0	R01398	C00169 + C00077 <=> C00009 + C00327	Urea_cycle_M00029		2.1.3.3	82							
0	0	R01954	C00002 + C00327 + C00049 <=> C00020 + C00013 + C03406	Urea_cycle_M00029		6.3.4.5	n/a							
0	0	R01086	C03406 <=> C00122 + C00062	Urea_cycle_M00029		4.3.2.1	0.12 - 2930						0	3000
0	0	R00551	C00062 + C00001 <=> C00077 + C00086	Urea_cycle_M00029		3.5.3.1	0.013 - 1132						0	1100
0	0	R01826	C00074 + C00279 + C00001 <=> C04691 + C00009	Shikimate_M00022										
0	0	R03083	C04691 <=> C00944 + C00009	Shikimate_M00022										
0	0	R03084	C00944 <=> C02637 + C00001	Shikimate_M00022										
0	0	R02413	C00493 + C00006 <=> C02637 + C00005 + C00080	Shikimate_M00022	-1									
0	0	R02412	C00002 + C00493 <=> C00008 + C03175	Shikimate_M00022										
0	0	R03460	C00074 + C03175 <=> C00009 + C01269	Shikimate_M00022										
0	0	R01714	C01269 <=> C00251 + C00009	Shikimate_M00022										
0	0	R00729	C00082 + C00001 + C00007 <=> C01179 + C00014 + C00027	Tyrosine_M00044		1.4.3.2	8.42							
0	0	R02521	C01179 + C00007 <=> C00544 + C00011	Tyrosine_M00044		1.13.11.27	0.03 - 9.9						0	10
0	0	R02519	C00544 + C00007 <=> C01036	Tyrosine_M00044		1.13.11.5	10.1 - 79.5						10	80
0	0	R03181	C01036 <=> C01061	Tyrosine_M00044		5.2.1.2	2.1 - 464						2	500
0	0	R01364	C00164 + C00122 <=> C01061 + C00001	Tyrosine_M00044	-1	3.7.1.2	n/a							
0	0	R00261	C00025 <=> C00334 + C00011	GABA_M00027		4.1.1.15	0.286 - 75.41						0	75
1	0	R01648	C00334 + C00026 <=> C00232 + C00025	GABA_M00027		2.6.1.19	0.00023 - 47.4						0	50
0	0	R10178	C00334 + C00022 <=> C00232 + C00041	GABA_M00027		2.6.1.96	6.9 - 10.6						6	11
1	0	R00713	C00232 + C00003 + C00001 <=> C00042 + C00004 + C00080	GABA_M00027		1.2.1.16	0.3 - 164	1.2.1.24	22.6 - 31.7				0	165
0	0	R00714	C00232 + C00006 + C00001 <=> C00042 + C00005 + C00080	GABA_M00027		1.2.1.16æ	0.3 - 164	1.2.1.79	16.8 - 18.4				0	165
0	0	R90001	C00004 + 3 C00008 <=> C00003 + 3 C00002	Oxid_Phosphor									0	100
0	0	R90002	C01352 + 2 C00008 <=> C00016 + 2 C00002	Oxid_Phosphor									0	100
